item_weight,item_mrp,item_fat_content,outlet_size,outlet_location_type,item_type,item_outlet_sales
17.788535969157675,36.00258125344006,Low Fat,Small,Tier 3,Soft Drinks,847.3583865458099
5.595944388761406,82.47311395286481,Low Fat,Small,Tier 1,Soft Drinks,1878.2392366120832
13.390396419233175,137.81017110812485,Low Fat,High,Tier 3,Breakfast,2796.518933913018
8.10958999623563,259.7311373296275,Low Fat,Small,Tier 1,Frozen Foods,4127.304910490843
17.074520627337822,223.71078558585128,Regular,Medium,Tier 3,Meat,4010.935005284559
17.572795989888867,242.50841950483365,Low Fat,Small,Tier 1,Canned,4294.231773336048
20.46136681577384,266.45316495858185,Regular,High,Tier 1,Snack Foods,5161.008668891717
12.403619342337652,80.28168738515704,Low Fat,High,Tier 2,Breakfast,2001.0320793440703
15.68279754059416,88.75462203634228,Low Fat,Small,Tier 3,Soft Drinks,1410.137169643777
20.366271551847444,43.425107411828144,Regular,High,Tier 2,Breads,1964.0066429236745
9.21965687172653,256.29833144041305,Regular,Medium,Tier 2,Meat,4762.927432507202
7.857431808841254,63.51127668612151,Regular,Medium,Tier 3,Meat,1056.620327449891
22.956457672049535,125.85612123369536,Low Fat,High,Tier 2,Breads,2974.275532166488
8.056826386965222,68.39568041338806,Regular,Medium,Tier 1,Snack Foods,1320.5221233459374
15.58228690198274,263.0588106272684,Regular,Small,Tier 3,Soft Drinks,3976.62446954276
11.803509460620903,100.44003087538228,Low Fat,Small,Tier 3,Dairy,1002.3536108566032
24.437761977402285,212.87092777249552,Low Fat,Small,Tier 2,Soft Drinks,3331.4074866461187
20.250216001503027,159.45096722871017,Regular,Medium,Tier 1,Frozen Foods,3233.740145679885
14.772114160578958,56.848254077014815,Low Fat,High,Tier 3,Canned,2251.650067853336
23.93898890595988,50.556828496290905,Low Fat,Small,Tier 3,Breakfast,1047.1039454613012
7.567829289995256,144.06777074369552,Low Fat,Small,Tier 3,Meat,2821.48506873907
20.10530393271611,195.56823170390916,Regular,Medium,Tier 2,Frozen Foods,3430.869921867508
13.762001678290082,154.21820184854175,Low Fat,Small,Tier 1,Soft Drinks,2858.4518093909314
6.41986172018065,181.46470974482372,Low Fat,High,Tier 3,Breads,3714.017341288056
15.283122396171782,96.83454335149128,Low Fat,Medium,Tier 3,Snack Foods,1893.868781687972
13.141199229718731,52.63819115805173,Regular,Medium,Tier 2,Baking Goods,1744.494953072993
18.467290945866036,266.1996507278319,Low Fat,Medium,Tier 1,Breads,4936.97642778795
13.972270956662635,131.251593560257,Low Fat,Small,Tier 3,Snack Foods,2183.503185254384
21.16044489463405,235.43205419240945,Low Fat,Medium,Tier 2,Baking Goods,4859.566148491982
21.973914688286108,69.91466654493937,Low Fat,Small,Tier 2,Baking Goods,1175.945181991457
8.292742428030538,30.517290804342345,Low Fat,High,Tier 3,Dairy,582.2128322147851
24.90845378985428,163.38439761734838,Regular,Small,Tier 1,Baking Goods,3375.7534661624586
16.583605816325125,160.1268483298258,Regular,Small,Tier 2,Soft Drinks,2957.698115487188
6.13759159457369,151.87883927842043,Regular,Small,Tier 1,Canned,2579.744675231081
13.07551102636555,255.98307053498144,Low Fat,Medium,Tier 1,Breads,4408.031294878621
15.455654310639176,254.32950185674247,Low Fat,Medium,Tier 1,Meat,4935.243554233532
7.617565642549129,184.92018932103588,Low Fat,High,Tier 3,Baking Goods,2519.389130188384
24.92192895710189,47.58257306391192,Low Fat,Small,Tier 3,Breads,1068.021368821487
22.585404849690857,118.68650129733214,Low Fat,High,Tier 3,Soft Drinks,3195.540275444607
10.987575043999556,189.21329159185856,Regular,Small,Tier 1,Breads,3370.3076800584195
19.848333679619973,67.30749834599771,Low Fat,Small,Tier 1,Dairy,1330.8366552743655
23.16318092437144,42.19173447900736,Low Fat,High,Tier 1,Frozen Foods,1990.9395083177776
20.422384460392543,182.90721055233112,Low Fat,Medium,Tier 2,Meat,3260.1558146498096
23.90101878093278,195.84470970141035,Low Fat,Small,Tier 1,Soft Drinks,3452.6064866456977
7.961875711349653,60.5869246277133,Low Fat,High,Tier 3,Baking Goods,1864.4712139511903
9.990594784458487,54.67046920122855,Regular,High,Tier 2,Breakfast,1697.7864662737184
23.51527645139113,86.81695973504608,Low Fat,Medium,Tier 1,Meat,2753.9109968452453
11.643709358928572,253.3958126515981,Regular,High,Tier 3,Dairy,4685.160557415229
8.183956859614625,198.30676515357905,Low Fat,Small,Tier 2,Canned,3300.8881216134355
11.103817346772011,220.8829197966868,Low Fat,Small,Tier 1,Frozen Foods,3514.3118614756127
10.572061220460078,46.66098111907679,Regular,Medium,Tier 2,Soft Drinks,1268.1323953269075
22.540768231511205,92.69164713365043,Low Fat,High,Tier 1,Meat,2815.028802305093
11.913742233596006,218.7427627688837,Low Fat,High,Tier 1,Canned,4576.7294589481135
5.03382556437259,252.13803971977984,Low Fat,Medium,Tier 3,Canned,4628.270016890319
12.284429435625285,46.79371467031444,Regular,Medium,Tier 1,Breads,1565.434043143536
11.185693244173065,128.01429806861205,Low Fat,Small,Tier 1,Meat,2177.1639028449767
18.298588684255428,120.99486650941002,Regular,Small,Tier 2,Meat,2048.2518822521497
10.738274337378543,133.1731559975603,Low Fat,Medium,Tier 2,Snack Foods,2598.7525483861664
18.512544663802,152.6817592499009,Regular,High,Tier 3,Breads,3039.453760810392
17.38521610724751,52.41292801813504,Regular,Small,Tier 1,Canned,1756.1629186303014
7.947079244915454,41.09129234226202,Regular,Medium,Tier 3,Snack Foods,642.8483090912332
8.888704734794185,197.1250201177212,Low Fat,Small,Tier 2,Baking Goods,3367.873764497108
22.85319652422733,236.50573570140511,Regular,Medium,Tier 1,Soft Drinks,4138.276315239091
23.349400289108804,59.12606380545226,Low Fat,Medium,Tier 2,Soft Drinks,1638.2520461488602
16.909046369388392,258.0095060263574,Regular,Medium,Tier 3,Soft Drinks,3719.078291330311
13.918272241534009,68.19789781031983,Regular,Medium,Tier 3,Dairy,1732.9192113060226
20.316273685943308,155.1119550787157,Low Fat,Small,Tier 1,Dairy,2904.6623601912747
22.86053665580633,49.33863783784042,Low Fat,Medium,Tier 1,Canned,1974.50590711519
