iter	RMSE
0	1055.286831
1	971.1479387
2	905.7081562
3	838.8519641
4	780.0976616
5	728.3922669
6	678.9228195
7	641.589507
8	599.9701776
9	568.4472483
10	536.1690168
11	508.3323494
12	484.0238411
13	459.3584251
14	440.652714
15	424.1623011
16	408.5355821
17	393.7938152
18	383.2816708
19	373.274131
20	363.7654491
21	354.0967711
22	345.5371203
23	338.9072091
24	333.0876294
25	327.1558027
26	323.111399
27	318.6443581
28	314.8665867
29	311.3283033
30	308.3166955
31	305.3469133
32	303.5808884
33	301.2266036
34	299.9591756
35	298.3980637
36	296.6196169
37	295.4029253
38	294.0298345
39	292.8219289
40	291.7250132
41	290.8643855
42	289.8005484
43	288.8507753
44	288.230134
45	287.4609548
46	286.7376208
47	285.7445126
48	285.3775318
49	284.7067751
50	284.1586121
51	283.2595223
52	282.4945299
53	281.9877277
54	281.2544917
55	280.7224629
56	280.010447
57	279.4940048
58	278.967425
59	278.4572779
60	277.8803208
61	277.5126005
62	276.9298813
63	276.062949
64	275.3869321
65	274.8918828
66	274.4409391
67	273.9759995
68	273.4485881
69	272.8571216
70	272.5208693
71	271.9521855
72	271.6624189
73	271.2234895
74	270.8266567
75	270.5443814
76	270.1848929
77	269.802895
78	269.2022644
79	268.7664558
80	268.2813732
81	267.8273821
82	267.3116043
83	266.8771254
84	266.5169563
85	266.1208049
86	265.8139737
87	265.5482361
88	265.3963089
89	264.8968434
90	264.3607478
91	263.9654783
92	263.6134214
93	263.2549822
94	262.8918516
95	262.6437001
96	262.3736086
97	262.0098214
98	261.7456126
99	261.4683331
