iter	Passed	Remaining
0	4	405
1	8	425
2	12	407
3	18	436
4	22	427
5	26	414
6	30	404
7	35	408
8	38	393
9	42	384
10	51	419
11	55	410
12	59	398
13	64	395
14	68	388
15	72	380
16	76	373
17	81	370
18	85	365
19	89	357
20	93	353
21	98	349
22	102	344
23	106	338
24	112	336
25	116	330
26	120	324
27	124	320
28	129	316
29	133	310
30	137	305
31	142	302
32	146	298
33	151	293
34	153	284
35	158	282
36	163	278
37	168	274
38	172	270
39	176	264
40	180	260
41	186	258
42	191	253
43	196	250
44	201	245
45	205	241
46	210	237
47	214	232
48	220	229
49	226	226
50	230	221
51	236	218
52	240	213
53	243	207
54	248	203
55	252	198
56	256	193
57	259	188
58	264	184
59	269	179
60	274	175
61	278	170
62	282	166
63	286	161
64	290	156
65	295	152
66	300	148
67	304	143
68	309	138
69	314	134
70	318	130
71	322	125
72	329	121
73	334	117
74	338	112
75	343	108
76	347	103
77	351	99
78	357	95
79	362	90
80	366	85
81	371	81
82	375	76
83	380	72
84	384	67
85	390	63
86	394	58
87	397	54
88	403	49
89	409	45
90	413	40
91	419	36
92	424	31
93	428	27
94	433	22
95	438	18
96	442	13
97	446	9
98	451	4
99	455	0
